Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss,Direct VoLL Loss,GDP Propagation Difference
Travel agency and tour arrangement services,MN211,3363.1338455113314,3349.3412290250435,13.792616486287933,0.5178165276724791,1741.4862899804693,1734.3442452040217,7.142044776447807,2.462566979529086,4.679477796918721,3.748277344129145,3.3937674323186617
Employment and other administrative services,MN212,8952.88467098134,8879.773497995771,73.11117298556998,0.46352941176470586,4149.925365137233,4116.036186129804,33.88917900742891,25.872218557294808,8.0169604501341,54.00724961924959,-20.118070611820684
"Building cleaning, pest control, and other support services",,6688.309351795586,6639.871863991165,48.43748780442157,0.5121776504297995,3425.6025691503182,3400.7939704539276,24.808598696390707,15.655786346552686,9.15281234983802,30.134456555253294,-5.325857858862587
Local government administration services,,5239.614787969081,5203.075941767124,36.53884620195706,0.635546875,3330.0208046975363,3306.7986551777776,23.222149519759427,12.569269592994425,10.652879926765,19.77561090283541,3.446538616924016
Central government administration services,,10914.338293924542,10856.797048229279,57.54124569526397,0.5046150824823252,5507.539718428733,5478.503537986083,29.036180442651364,20.015985079560306,9.020195363091059,39.362521515559116,-10.326341072907752
Defence,OO212,3570.4123896038145,3555.7152932628287,14.69709634098571,0.6547376982513217,2337.6835897772025,2328.060846747928,9.622743029274906,4.393983730997026,5.228759298277879,6.710939211709235,2.911803817565671
"Public order, safety, and regulatory services",,9368.672906959198,9318.51029281292,50.16261414627843,0.6507676818525044,6096.829549696201,6064.185341572565,32.64420812363526,23.974857790009587,8.669350333625674,36.49372364484394,-3.84951552120868
Preschool education,PP111,3571.061618713863,3537.9293829445664,33.13223576929678,0.724194429273621,2586.142930865419,2562.148750291914,23.99418057350493,18.26907243111776,5.725108142387173,23.929635006320858,0.0645455671840729
School education,PP112,10025.021002306901,9937.327661015659,87.6933412912429,0.7792389153962528,7811.886492662285,7743.552428507023,68.33406415526156,61.66334126750509,6.6707228877564635,79.01747986597228,-10.683415710710719
Tertiary education,PP113,8585.644582759069,8538.039271729402,47.605311029666694,0.7140575079872205,6130.643975228919,6096.651045468119,33.99292976080034,25.35873344020831,8.634196320592025,35.32622006630902,-1.333290305508683
"Adult, community, and other education",,5449.459797617487,5421.627984488841,27.83181312864541,0.5510534846029174,3002.943810680625,2987.6069930732674,15.336817607357276,6.476895842310178,8.859921765047098,11.627617638725791,3.7091999686314843
Hospitals,QQ111,13281.433024046564,13188.524831291414,92.90819275515193,0.6977594523105648,9267.24543275818,9202.41786306618,64.8275696919992,57.39028997020595,7.437279721793249,82.21162306446624,-17.384053372467037
Medical and other health care services,QQ112,11899.611747397354,11810.470245570123,89.14150182723078,0.5510097945739794,6556.802624443528,6507.684783833689,49.11784060983844,42.48575929875736,6.632081311081085,66.55009732143033,-17.43225671159189
Residential care services and social assistance,QQ113,8390.343260521227,8296.088849509213,94.25441101201476,0.6331468319975805,5312.319254771266,5252.64237303721,59.67688173405501,51.43914497575492,8.23773675830009,75.90171871426271,-16.224836980207705
Heritage and artistic activities,RS111,4410.2919016466985,4387.969474645529,22.322427001169405,0.5658734764944864,2495.6672107402965,2483.0355413693505,12.631669370946122,5.494972652610037,7.136696718336086,8.901672544115787,3.7299968268303356
Sport and recreation services,,6137.5073730136555,6095.2135097416185,42.2938632720375,0.3927540036755054,2410.530593339047,2393.9195092080495,16.61108413099714,9.365974867462631,7.2451092635345065,22.32542076826862,-5.714336637271483
Gambling activities,RS113,4585.328564651015,4569.471507354813,15.857057296201663,0.6342710997442456,2908.341391389902,2898.283718219933,10.057673169969341,1.5462031077278835,8.51147006224146,2.4360511887546976,7.621621981214643
Repair and maintenance,RS211,6971.247618761233,6932.845224163837,38.40239459739572,0.534588620548506,3726.7496480156246,3706.2201648620435,20.529483153581175,12.212858543437866,8.31662461014331,22.75525056108349,-2.225767407502314
Personal services; domestic household staff,,5527.694210900674,5501.156209357096,26.53800154357857,0.6704791344667697,3706.203630121657,3688.410453816241,17.793176305416356,11.151683698319,6.641492607097357,16.57974748766583,1.2134288177505255
"Religious services; civil, professional, and other interest groups",,6768.697372407328,6723.953866538178,44.74350586914912,0.4216342933690556,2853.914933643947,2835.049537163954,18.86539647999288,9.124497080104764,9.740899399888116,21.234653811871866,-2.369257331878984
