Description,NZSIOC,Original Output,Shocked Output,Output Loss,Value Added to Output Ratio,Original GDP Estimate,Shocked GDP Estimate,Loss,Direct Loss,Indirect Loss
Residential property operation,LL121,16626.239999999994,16593.721911011755,32.518088988239676,0.7602657004830918,12640.359999999997,12615.637612296981,24.722387703015553,24.683813157616562,0.0385745453989875
Non-residential property operation,LL122,18007.995000000003,17991.31996576764,16.67503423235982,0.5410018811398314,9742.35917055668,9733.337945668902,9.021224887777747,0.003784178107665856,9.017440709670081
Real estate services,LL123,6366.615000000001,6363.912460731114,2.702539268886462,0.4446414499605989,2830.8609249408987,2829.6592639618057,1.2016609790931332,0.11859830234784124,1.083062676745292
Owner-occupied property operation,,39204.945,39113.712075174255,91.2329248257398,0.7614840423829188,29853.94,29784.467583605274,69.4724163947213,69.4724163947213,0.0
"Scientific, architectural, and engineering services",,16225.895,16218.846760272992,7.048239727008431,0.5904098994586233,9579.929035576179,9575.767685067596,4.161350508583322,0.3609248970890334,3.8004256114942883
Legal and accounting services,MN112,9398.695,9391.475591033735,7.219408966263836,0.7258646014154093,6822.179999999999,6816.939686588247,5.240313411751932,0.8057181751356433,4.434595236616288
"Advertising, market research, and management services",,13705.855000000005,13694.386798258512,11.468201741492502,0.5159813169704185,7071.965113105598,7066.047735267741,5.917377837857749,0.24949912969300958,5.667878708164739
Veterinary and other professional services,MN114,1511.0200000000002,1509.153031819938,1.8669681800622786,0.7299088649544325,1102.9068931234467,1101.5441764982313,1.3627166252153005,1.014296795193843,0.3484198300214572
Computer system design and related services,MN115,13906.655,13899.776003946772,6.878996053229638,0.666937302661254,9274.866974740642,9270.279115667883,4.587859072758387,1.0151605760782858,3.572698496680101
Travel agency and tour arrangement services,MN211,1645.3049999999998,1643.6201984275278,1.6848015724719128,0.5178165276724791,851.9661220621681,851.0937039620936,0.8724181000745385,0.6592009071639953,0.21321719291054325
Employment and other administrative services,MN212,9071.139999999998,9063.33992720023,7.800072799768554,0.46352941176470586,4204.740188235292,4201.124625078694,3.6155631565986,0.5862012011627399,3.02936195543586
"Building cleaning, pest control, and other support services",,5258.45,5254.275543781487,4.174456218512955,0.5121776504297995,2693.260565902579,2691.1225027247588,2.138063177820031,0.18359022246113874,1.9544729553588922
Local government administration services,,3204.015,3203.738935993512,0.27606400648787255,0.635546875,2036.3017207031246,2036.1262690865015,0.1754516166233471,0.11879952143496535,0.05665209518838177
Central government administration services,,12778.410000000003,12776.969519483515,1.440480516489133,0.5046150824823252,6448.178416142971,6447.4515279483285,0.7268881946423463,0.4930459990253314,0.2338421956170149
Defence,OO212,3074.7499999999995,3074.483663234531,0.2663367654686999,0.6547376982513217,2013.154737698251,2012.9803569774685,0.17438072078267866,0.15297470718317677,0.021406013599501873
"Public order, safety, and regulatory services",,9968.464999999998,9965.33319148637,3.1318085136283114,0.6507676818525044,6487.154859677825,6485.1167799114055,2.0380797664198336,0.803911290148494,1.2341684762713396
Preschool education,PP111,2290.375,2288.9799812623205,1.395018737679379,0.724194429273621,1658.6768159475698,1657.66655114901,1.010264798559725,0.9477662502399128,0.06249854831981234
School education,PP112,10777.94,10775.310207121547,2.629792878455091,0.7792389153962528,8398.59027580589,8396.541038855565,2.049236950324135,1.8870747100819927,0.16216224024214207
Tertiary education,PP113,8640.675000000001,8637.690585837216,2.9844141627858605,0.7140575079872205,6169.9388578274775,6167.807814487596,2.1310433398806383,1.731670889378792,0.39937245050184644
"Adult, community, and other education",,2320.4950000000003,2318.900648538776,1.5943514612247462,0.5510534846029174,1278.716855753647,1277.8382828252572,0.8785729283896495,0.5628749862101601,0.3156979421794895
Hospitals,QQ111,16128.004999999996,16123.963249149961,4.041750850034677,0.6977594523105648,11253.467935662047,11250.64776580255,2.820169859495956,2.6931626783896254,0.1270071811063308
Medical and other health care services,QQ112,14462.619999999997,14456.02587490224,6.5941250977571775,0.5510097945739794,7969.0452752015235,7965.411847686014,3.633427515510304,3.4442447602973374,0.1891827552129664
Residential care services and social assistance,QQ113,8290.529999999999,8278.116001132223,12.413998867775794,0.6331468319975805,5249.122805080901,5241.262921025346,7.8598840555537945,7.620614575149356,0.23926948040443818
Heritage and artistic activities,RS111,2154.835,2153.4468553366573,1.3881446633428014,0.5658734764944864,1219.3639727219966,1218.5784584754736,0.7855142465230595,0.614955284399026,0.17055896212403335
Sport and recreation services,,4787.825,4782.6988076509715,5.126192349028279,0.3927540036755054,1880.4374376476767,1878.4241050789851,2.0133325686916,1.7579779359652563,0.25535463272634396
Gambling activities,RS113,2444.74,2439.9471026376705,4.792897362329399,0.6342710997442456,1550.6279283887466,1547.5879321077807,3.039996280965962,2.9380896062844766,0.10190667468148536
Repair and maintenance,RS211,6128.164999999999,6122.26676707283,5.898232927170224,0.534588620548506,3276.047273843635,3272.894145639425,3.1531282042097066,2.022002410600321,1.1311257936093857
Personal services; domestic household staff,,4057.415000000001,4051.020200819347,6.394799180653731,0.6704791344667697,2720.4120973724885,2716.1245179527555,4.287579419733521,3.6968991341466624,0.5906802855868586
"Religious services; civil, professional, and other interest groups",,3748.6850000000004,3743.738011948863,4.946988051137102,0.4216342933690556,1580.5741510381783,1578.488331226932,2.0858198112463535,1.5410406952684421,0.5447791159779115
